DATE	AKBPPRIV	ALBPPRIV	ARBPPRIV	AZBPPRIV	CABPPRIV	COBPPRIV	CTBPPRIV	DCBPPRIV	DEBPPRIV	FLBPPRIV	GABPPRIV	HIBPPRIV	IABPPRIV	IDBPPRIV	ILBPPRIV	INBPPRIV	KSBPPRIV	KYBPPRIV	LABPPRIV	MABPPRIV	MDBPPRIV	MEBPPRIV	MIBPPRIV	MNBPPRIV	MOBPPRIV	MSBPPRIV	MTBPPRIV	NCBPPRIV	NDBPPRIV	NEBPPRIV	NHBPPRIV	NJBPPRIV	NMBPPRIV	NVBPPRIV	NYBPPRIV	OHBPPRIV	OKBPPRIV	ORBPPRIV	PABPPRIV	RIBPPRIV	SCBPPRIV	SDBPPRIV	TNBPPRIV	TXBPPRIV	UTBPPRIV	VABPPRIV	VTBPPRIV	WABPPRIV	WIBPPRIV	WVBPPRIV	WYBPPRIV
2018-06-01	221	1225	916	3557	12952	3674	413	799	489	12957	4016	464	1209	1400	1896	1710	586	1466	1401	1587	1334	467	1758	2621	1797	799	436	5519	304	570	476	2909	497	1163	3276	1737	833	1347	2127	88	3438	342	3616	19086	2535	2886	153	4124	1953	314	196
2018-07-01	133	1278	774	4509	9497	3283	494	30	499	12952	4666	270	1365	1205	1621	1958	714	1097	1148	1038	1810	347	1645	2595	897	677	398	6055	308	604	321	1960	413	1236	4095	2603	794	1345	2597	99	3021	365	3744	16171	2032	2956	187	3023	1829	206	169
2018-08-01	165	1381	715	3738	8826	3320	349	340	535	12439	4476	332	1016	1379	1853	2098	1346	1526	1767	864	2181	375	2176	4176	1580	572	339	7348	404	789	328	2083	416	1352	2825	1962	867	1706	1840	187	3612	624	3737	15564	2406	2214	137	4338	1666	509	155
2018-09-01	128	1040	720	3230	7424	4166	269	228	440	10481	4264	487	736	1407	2482	1361	766	1364	1354	905	1535	457	1614	2215	870	524	396	4247	675	718	253	2076	309	1118	2122	1478	716	1433	1830	72	2620	455	3799	13362	2091	3306	181	3392	1877	248	139
2018-10-01	129	1130	707	3156	8745	3326	439	1023	569	12123	5778	364	1452	1329	2117	2083	1340	1303	1285	1155	1271	485	2936	2631	1671	695	420	5022	342	690	447	2376	423	1736	2748	2167	1092	2008	2768	91	2856	457	3956	13241	2146	2415	286	3606	1638	221	172
2018-11-01	106	1111	759	2563	7741	3649	354	662	548	12159	4924	270	759	1138	2494	1552	499	792	983	1023	1477	335	1353	1787	1357	496	240	4571	111	740	232	2058	324	1632	3575	1870	748	1824	1640	80	2718	190	2679	15265	1910	2073	153	3941	1168	233	133
2018-12-01	136	865	789	3166	10709	4293	525	637	500	11548	3316	222	417	938	1204	1091	379	887	979	1339	1314	282	981	987	654	496	324	5512	112	435	185	1701	349	1140	3277	1155	634	1495	1630	64	2843	171	2139	14984	2210	1665	97	3564	697	213	101
2019-01-01	90	1169	643	2641	9373	3026	278	591	604	11190	4045	432	425	880	1296	1528	428	935	1133	819	1743	357	1187	1352	1098	623	280	4219	45	621	338	1778	349	1204	4036	1095	740	1255	1353	67	3483	182	2733	14258	1594	2859	73	2875	726	287	103
2019-02-01	88	1089	954	2897	6228	2676	310	954	534	11099	4422	246	248	789	1229	1279	366	770	1347	816	930	380	1611	1558	838	410	134	5092	32	404	161	1520	444	1335	2924	1506	1101	1544	1686	70	2815	124	2502	14511	1570	2610	134	2284	734	265	124
2019-03-01	120	1283	746	3691	8345	3078	491	250	508	11661	4690	247	617	1125	1192	1642	507	811	1496	1026	1788	618	2053	2136	1787	585	316	5174	86	572	264	2288	398	1100	2699	1873	1279	2252	1855	66	2734	269	3877	15852	1751	2496	148	4294	1128	327	138
2019-04-01	150	1500	758	4590	9045	3593	721	473	413	14518	4440	153	1000	1365	3378	2130	869	1245	1442	1021	1805	318	2035	2570	1107	593	413	5588	281	734	280	1900	484	1310	3752	2133	904	1820	1936	86	3114	450	2948	15895	2608	3186	179	5077	1967	227	207
2019-05-01	192	1296	945	4282	9883	3653	341	698	586	12393	4346	866	1113	1751	2094	1838	782	1304	1303	1069	2244	431	2387	3281	1431	701	367	7763	314	905	251	2411	474	1673	2599	1759	980	1658	1872	107	3617	400	4487	19081	2799	2761	113	4339	1642	509	240
2019-06-01	139	1395	923	4359	9014	3902	336	130	636	10983	4056	338	1427	1222	1284	2141	611	953	1258	1378	1741	421	1832	2208	1131	568	364	6114	219	779	329	2715	418	2230	3684	1907	858	1283	2687	102	2774	395	3046	15176	2883	2918	118	3647	1514	283	181
2019-07-01	182	1556	996	3918	9924	3848	435	997	624	13109	4151	270	1042	1671	2095	1861	622	1320	1454	1289	1279	466	1890	2383	1307	679	319	5746	288	416	353	2502	484	1865	3694	1839	1107	1749	2146	113	3091	414	3696	17515	2207	3263	131	4428	1547	323	173
2019-08-01	186	1470	2195	4027	8843	3161	376	384	512	15187	4342	307	1409	1747	1529	2172	927	1303	1497	1179	1289	478	1644	3304	1710	644	347	6209	335	798	710	4085	468	1404	3708	2502	1173	1919	2253	84	3187	427	3943	19405	2821	3703	183	4133	1635	315	183
2019-09-01	193	1423	906	3302	9920	3299	478	369	537	15067	4420	370	1037	1194	1419	1790	699	1158	1436	869	1445	360	2202	1880	1339	593	371	5589	570	912	252	3424	362	1378	2873	2339	1010	2013	1741	137	2816	426	3329	16452	2508	2403	109	4121	1661	256	163
2019-10-01	130	1403	951	4032	10176	4219	1136	773	519	15381	5876	672	1699	1610	1746	1960	893	1265	1489	1195	1522	439	2298	3547	1808	668	268	6325	203	610	252	3786	598	1699	3976	1870	1072	2405	1903	102	3044	688	4778	19861	2869	1933	145	3768	1763	242	162
